ID,Brand,Model,Year,UnitsSold
1,Maruti Suzuki,Swift,2023,25000
2,Hyundai,Creta,2023,20000
3,Tata,Nexon,2023,15000
4,Mahindra,XUV300,2023,12000
5,Kia,Seltos,2023,18000
6,Honda,City,2023,14000
7,Toyota,Fortuner,2023,10000
8,Ford,EcoSport,2023,9000
9,Renault,Kwid,2023,16000
10,Volkswagen,Polo,2023,8000
11,Skoda,Superb,2023,5000
12,Nissan,Magnite,2023,11000
13,MG,Hector,2023,7000
14,Jeep,Compass,2023,6000
15,Mitsubishi,Outlander,2023,3000
16,Datsun,Redi-GO,2023,2000
17,Fiat,Punto,2023,1000
18,Isuzu,MU-X,2023,1200
19,Mercedes-Benz,C-Class,2023,3500
20,BMW,3 Series,2023,4000
